(base) jupyter-st125462@puffer:~/RTML/A5$ python face_gan_celeba.py
2025-03-09 16:44:19,039 - FaceGAN - INFO - Using device: cuda
2025-03-09 16:44:19,077 - FaceGAN - INFO - CUDA is available. Using GPU: NVIDIA GeForce RTX 2080 Ti
2025-03-09 16:44:19,077 - FaceGAN - INFO - Starting Face GAN training...
2025-03-09 16:44:19,196 - FaceGAN - INFO - Found 202599 images in ./data/celeba/img_align_celeba
2025-03-09 16:44:19,196 - FaceGAN - INFO - CelebA dataset loaded successfully with 202599 images
2025-03-09 16:44:20,252 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [0/1583]
2025-03-09 16:44:20,252 - FaceGAN - INFO - Discriminator Loss: 2.0554, Generator Loss: 4.3613
2025-03-09 16:44:20,252 - FaceGAN - INFO - D(x): 0.3296, D(G(z)): 0.0117
2025-03-09 16:44:25,906 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [100/1583]
2025-03-09 16:44:25,906 - FaceGAN - INFO - Discriminator Loss: 2.1267, Generator Loss: 9.1394
2025-03-09 16:44:25,906 - FaceGAN - INFO - D(x): 0.4472, D(G(z)): 0.0001
2025-03-09 16:44:31,473 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [200/1583]
2025-03-09 16:44:31,473 - FaceGAN - INFO - Discriminator Loss: 2.9355, Generator Loss: 12.2809
2025-03-09 16:44:31,473 - FaceGAN - INFO - D(x): 0.7085, D(G(z)): 0.0000
2025-03-09 16:44:37,024 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [300/1583]
2025-03-09 16:44:37,025 - FaceGAN - INFO - Discriminator Loss: 2.0838, Generator Loss: 3.7846
2025-03-09 16:44:37,025 - FaceGAN - INFO - D(x): 0.7118, D(G(z)): 0.0325
2025-03-09 16:44:42,709 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [400/1583]
2025-03-09 16:44:42,710 - FaceGAN - INFO - Discriminator Loss: 1.6870, Generator Loss: 1.9773
2025-03-09 16:44:42,710 - FaceGAN - INFO - D(x): 0.4007, D(G(z)): 0.1363
2025-03-09 16:44:48,395 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [500/1583]
2025-03-09 16:44:48,395 - FaceGAN - INFO - Discriminator Loss: 1.4942, Generator Loss: 1.6811
2025-03-09 16:44:48,395 - FaceGAN - INFO - D(x): 0.5630, D(G(z)): 0.1868
2025-03-09 16:44:54,030 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [600/1583]
2025-03-09 16:44:54,031 - FaceGAN - INFO - Discriminator Loss: 1.3162, Generator Loss: 1.7134
2025-03-09 16:44:54,031 - FaceGAN - INFO - D(x): 0.4808, D(G(z)): 0.1738
2025-03-09 16:44:59,760 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [700/1583]
2025-03-09 16:44:59,760 - FaceGAN - INFO - Discriminator Loss: 1.5607, Generator Loss: 1.6907
